"Source.File"	"Sweep.Number"	"Electrode"	"Marker"	"Latency"	"Peak"	"Subject"	"faceRace"	"FixArea"	"Hemisphere"	"Coronal"
"Sub1_Black_eyes.avg"	1	"P8/T6"	"N170"	153	-4.120807	1	"Black"	"eyes"	"right"	"posterior"
"Sub1_Black_eyes.avg"	1	"TP7"	"N170"	168	-2.329301	1	"Black"	"eyes"	"left"	"anterior"
"Sub1_Black_eyes.avg"	1	"TP8"	"N170"	155	-3.824507	1	"Black"	"eyes"	"right"	"anterior"
"Sub1_Black_eyes.avg"	1	"P7/T5"	"N170"	168	-3.372348	1	"Black"	"eyes"	"left"	"posterior"
"Sub1_Black_fore.avg"	1	"P8/T6"	"N170"	152	-4.729124	1	"Black"	"fore"	"right"	"posterior"
"Sub1_Black_fore.avg"	1	"TP7"	"N170"	167	-3.240998	1	"Black"	"fore"	"left"	"anterior"
"Sub1_Black_fore.avg"	1	"TP8"	"N170"	158	-4.786226	1	"Black"	"fore"	"right"	"anterior"
"Sub1_Black_fore.avg"	1	"P7/T5"	"N170"	169	-3.595726	1	"Black"	"fore"	"left"	"posterior"
"Sub1_White_eyes.avg"	1	"P8/T6"	"N170"	149	-1.658122	1	"White"	"eyes"	"right"	"posterior"
"Sub1_White_eyes.avg"	1	"TP7"	"N170"	152	-1.685248	1	"White"	"eyes"	"left"	"anterior"
"Sub1_White_eyes.avg"	1	"TP8"	"N170"	151	-1.320733	1	"White"	"eyes"	"right"	"anterior"
"Sub1_White_eyes.avg"	1	"P7/T5"	"N170"	154	-1.095242	1	"White"	"eyes"	"left"	"posterior"
"Sub1_White_fore.avg"	1	"P8/T6"	"N170"	151	-2.563477	1	"White"	"fore"	"right"	"posterior"
"Sub1_White_fore.avg"	1	"TP7"	"N170"	171	-0.810242	1	"White"	"fore"	"left"	"anterior"
"Sub1_White_fore.avg"	1	"TP8"	"N170"	153	-2.470398	1	"White"	"fore"	"right"	"anterior"
"Sub1_White_fore.avg"	1	"P7/T5"	"N170"	174	-0.915527	1	"White"	"fore"	"left"	"posterior"
"Sub2_Black_eyes.avg"	1	"P8/T6"	"N170"	168	-5.445862	2	"Black"	"eyes"	"right"	"posterior"
"Sub2_Black_eyes.avg"	1	"TP7"	"N170"	168	-4.144287	2	"Black"	"eyes"	"left"	"anterior"
"Sub2_Black_eyes.avg"	1	"TP8"	"N170"	168	-3.977966	2	"Black"	"eyes"	"right"	"anterior"
"Sub2_Black_eyes.avg"	1	"P7/T5"	"N170"	168	-7.218933	2	"Black"	"eyes"	"left"	"posterior"
"Sub2_Black_fore.avg"	1	"P8/T6"	"N170"	166	-4.15613	2	"Black"	"fore"	"right"	"posterior"
"Sub2_Black_fore.avg"	1	"TP7"	"N170"	166	-1.470583	2	"Black"	"fore"	"left"	"anterior"
"Sub2_Black_fore.avg"	1	"TP8"	"N170"	168	-3.073596	2	"Black"	"fore"	"right"	"anterior"
"Sub2_Black_fore.avg"	1	"P7/T5"	"N170"	167	-4.074517	2	"Black"	"fore"	"left"	"posterior"
"Sub2_White_eyes.avg"	1	"P8/T6"	"N170"	168	-3.547375	2	"White"	"eyes"	"right"	"posterior"
"Sub2_White_eyes.avg"	1	"TP7"	"N170"	170	-2.065805	2	"White"	"eyes"	"left"	"anterior"
"Sub2_White_eyes.avg"	1	"TP8"	"N170"	170	-2.62906	2	"White"	"eyes"	"right"	"anterior"
"Sub2_White_eyes.avg"	1	"P7/T5"	"N170"	168	-3.631298	2	"White"	"eyes"	"left"	"posterior"
"Sub2_White_fore.avg"	1	"P8/T6"	"N170"	168	-3.85437	2	"White"	"fore"	"right"	"posterior"
"Sub2_White_fore.avg"	1	"TP7"	"N170"	175	-2.79541	2	"White"	"fore"	"left"	"anterior"
"Sub2_White_fore.avg"	1	"TP8"	"N170"	168	-2.041626	2	"White"	"fore"	"right"	"anterior"
"Sub2_White_fore.avg"	1	"P7/T5"	"N170"	171	-5.462646	2	"White"	"fore"	"left"	"posterior"
"Sub3_Black_eyes.avg"	1	"P8/T6"	"N170"	164	-2.921529	3	"Black"	"eyes"	"right"	"posterior"
"Sub3_Black_eyes.avg"	1	"TP7"	"N170"	170	-1.071892	3	"Black"	"eyes"	"left"	"anterior"
"Sub3_Black_eyes.avg"	1	"TP8"	"N170"	161	0.490245	3	"Black"	"eyes"	"right"	"anterior"
"Sub3_Black_eyes.avg"	1	"P7/T5"	"N170"	168	-2.748697	3	"Black"	"eyes"	"left"	"posterior"
"Sub3_Black_fore.avg"	1	"P8/T6"	"N170"	165	-4.56543	3	"Black"	"fore"	"right"	"posterior"
"Sub3_Black_fore.avg"	1	"TP7"	"N170"	177	-3.416612	3	"Black"	"fore"	"left"	"anterior"
"Sub3_Black_fore.avg"	1	"TP8"	"N170"	161	-2.25847	3	"Black"	"fore"	"right"	"anterior"
"Sub3_Black_fore.avg"	1	"P7/T5"	"N170"	169	-4.528131	3	"Black"	"fore"	"left"	"posterior"
"Sub3_White_eyes.avg"	1	"P8/T6"	"N170"	166	-3.071944	3	"White"	"eyes"	"right"	"posterior"
"Sub3_White_eyes.avg"	1	"TP7"	"N170"	170	-1.624266	3	"White"	"eyes"	"left"	"anterior"
"Sub3_White_eyes.avg"	1	"TP8"	"N170"	169	-1.022816	3	"White"	"eyes"	"right"	"anterior"
"Sub3_White_eyes.avg"	1	"P7/T5"	"N170"	169	-3.145377	3	"White"	"eyes"	"left"	"posterior"
"Sub3_White_fore.avg"	1	"P8/T6"	"N170"	164	-1.322009	3	"White"	"fore"	"right"	"posterior"
"Sub3_White_fore.avg"	1	"TP7"	"N170"	173	-1.37219	3	"White"	"fore"	"left"	"anterior"
"Sub3_White_fore.avg"	1	"TP8"	"N170"	166	-0.339154	3	"White"	"fore"	"right"	"anterior"
"Sub3_White_fore.avg"	1	"P7/T5"	"N170"	169	-0.936135	3	"White"	"fore"	"left"	"posterior"
"Sub4_Black_eyes.avg"	1	"P8/T6"	"N170"	170	-9.109497	4	"Black"	"eyes"	"right"	"posterior"
"Sub4_Black_eyes.avg"	1	"TP7"	"N170"	170	-10.223389	4	"Black"	"eyes"	"left"	"anterior"
"Sub4_Black_eyes.avg"	1	"TP8"	"N170"	169	-6.03909	4	"Black"	"eyes"	"right"	"anterior"
"Sub4_Black_eyes.avg"	1	"P7/T5"	"N170"	171	-14.63657	4	"Black"	"eyes"	"left"	"posterior"
"Sub4_Black_fore.avg"	1	"P8/T6"	"N170"	171	-7.900642	4	"Black"	"fore"	"right"	"posterior"
"Sub4_Black_fore.avg"	1	"TP7"	"N170"	172	-9.107163	4	"Black"	"fore"	"left"	"anterior"
"Sub4_Black_fore.avg"	1	"TP8"	"N170"	171	-4.322546	4	"Black"	"fore"	"right"	"anterior"
"Sub4_Black_fore.avg"	1	"P7/T5"	"N170"	174	-12.037569	4	"Black"	"fore"	"left"	"posterior"
"Sub4_White_eyes.avg"	1	"P8/T6"	"N170"	167	-5.157637	4	"White"	"eyes"	"right"	"posterior"
